Column1;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_40067;81;143;176;82;163;98
PITA_42215;317;109;548;388;426;337
PITA_08953;0;0;0;0;0;0
PITA_37977;0;0;0;0;0;0
PITA_42967;0;0;0;0;2;1
PITA_05282;262;566;1096;241;577;182
PITA_40707;38;54;99;49;44;47
PITA_50787;0;0;0;0;0;0
PITA_23877;235;347;504;207;245;286
PITA_50864;0;0;0;0;0;0
PITA_19791;0;0;0;0;0;0
PITA_16358;267;341;630;387;506;295
PITA_27036;4;1;15;6;1;7
PITA_16626;671;641;1085;578;533;532
PITA_42664;0;0;0;0;0;0
PITA_29334;15;21;39;14;45;31
PITA_33880;12;17;43;21;15;16
PITA_24188;41;73;102;65;38;71
PITA_33320;4;24;33;17;9;13
PITA_15166;1;0;0;1;1;3
PITA_32940;0;0;0;0;0;0
PITA_37471;0;0;2;0;0;11
PITA_34861;18;20;68;28;43;48
PITA_36362;45;20;73;50;32;29
PITA_12217;16;5;56;26;26;36
PITA_25186;1;2;4;3;2;2
PITA_39831;44;18;56;39;32;28
PITA_47661;0;0;0;2;1;0
PITA_03587;298;413;749;565;743;566
PITA_10100;0;0;0;0;0;1
PITA_24919;424;383;2790;488;1588;1980
